Author's name,Author's category
Albert Einstein,change | deep-thoughts | thinking | world | inspirational | life | live | miracle | miracles | adulthood | success | value | simplicity | understand | children | fairy-tales | imagination | knowledge | learning | understanding | wisdom | life | simile | music | mistakes
J.K. Rowling,abilities | choices | courage | friends | dumbledore | death | inspirational | dumbledore | live-death-love | integrity | truth
Jane Austen,aliteracy | books | classic | humor | friendship | love | humor | love | romantic | women | books | library | reading | elizabeth-bennet | jane-austen
Marilyn Monroe,be-yourself | inspirational | friends | heartbreak | inspirational | life | love | sisters | girls | love | love | attributed-no-source | attributed-no-source
André Gide,life | love
Thomas A. Edison,edison | failure | inspirational | paraphrased
Eleanor Roosevelt,misattributed-eleanor-roosevelt | attributed | fear | inspiration
Steve Martin,humor | obvious | simile
Bob Marley,love | music | friendship
Dr. Seuss,fantasy | comedy | life | yourself | learning | reading | seuss | troubles | humor | philosophy | inspirational
Douglas Adams,life | navigation
Elie Wiesel,activism | apathy | hate | indifference | inspirational | love | opposite | philosophy
Friedrich Nietzsche,friendship | lack-of-friendship | lack-of-love | love | marriage | unhappy-marriage
Mark Twain,books | contentment | friends | friendship | life | education | books | classic | reading | death | life | misattributed-mark-twain | truth | truth
Allen Saunders,fate | life | misattributed-john-lennon | planning | plans
Pablo Neruda,love | poetry
Ralph Waldo Emerson,happiness | life | regrets
Mother Teresa,attributed-no-source | misattributed-to-mother-teresa | paraphrased
Garrison Keillor,humor | religion
Jim Henson,humor
Charles M. Schulz,chocolate | food | humor
William Nicholson,misattributed-to-c-s-lewis | reading
Jorge Luis Borges,books | library
George Eliot,inspirational
George R.R. Martin,read | readers | reading | reading-books | books | mind
C.S. Lewis,books | inspirational | reading | tea | love | age | fairytales | growing-up | god | christianity | faith | religion | sun
Martin Luther King Jr.,hope | inspirational
James Baldwin,love
Haruki Murakami,books | thought
Alexandre Dumas fils,misattributed-to-einstein
Stephenie Meyer,drug | romance | simile
Ernest Hemingway,books | friends | novelist-quotes | good | writing
Helen Keller,inspirational
George Bernard Shaw,inspirational | life | yourself
Charles Bukowski,alcohol | humor
Suzanne Collins,the-hunger-games | humor
J.R.R. Tolkien,bilbo | journey | lost | quest | travel | wander
Alfred Tennyson,friendship | love
Terry Pratchett,humor | open-mind | thinking
J.D. Salinger,authors | books | literature | reading | writing
George Carlin,humor | insanity | lies | lying | self-indulgence | truth
John Lennon,beatles | connection | dreamers | dreaming | dreams | hope | inspirational | peace
W.C. Fields,humor | sinister
Ayn Rand,
Jimi Hendrix,death | life
J.M. Barrie,adventure | love
E.E. Cummings,courage
Khaled Hosseini,life
Harper Lee,better-life-empathy
Madeleine L'Engle,books | children | difficult | grown-ups | write | writers | writing
